,author,date,genre,gutenberg_id,source,title,viaf_author_uri,dictcom_gl,oed_gl
0,"Defoe, Daniel, 1661?-1731",1706,fic,36587,gutenberg,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,http://viaf.org/viaf/39375774,0.9625066952329941,0.4812473662031184
1,"Congreve, William, 1670-1729",1713,fic,2363,gutenberg,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,http://viaf.org/viaf/24616924,0.974321503131524,0.5970175438596491
2,"Defoe, Daniel, 1661?-1731",1719,fic,11866,gutenberg,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,http://viaf.org/viaf/39375774,1.2938169976027862,0.7917878463186897
3,"Defoe, Daniel, 1661?-1731",1719,fic,561,gutenberg,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,http://viaf.org/viaf/39375774,1.4700233903730149,0.8392919997988636
4,"Defoe, Daniel, 1661?-1731",1721,fic,370,gutenberg,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,http://viaf.org/viaf/39375774,1.4556261039767031,0.7876599565965726
5,"Carey, Henry, 1687?-1743",1726,fic,28105,gutenberg,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,http://viaf.org/viaf/14965532,0.8964305029745808,0.5210951526032316
6,"Swift, Jonathan, 1667-1745",1726,fic,829,gutenberg,Gulliver's Travels into Several Remote Nations of the World,http://viaf.org/viaf/14777110,0.9761659884630863,0.6318343050515758
7,"Richardson, Samuel, 1689-1761",1741,fic,6124,gutenberg,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,http://viaf.org/viaf/41845728,1.636147773529049,0.8725379007059368
8,"Smollett, Tobias George, 1721-1771",1748,fic,4085,gutenberg,THE ADVENTURES OF Roderick Random.,http://viaf.org/viaf/68935985,0.8678538654232496,0.5089696647370466
9,"Fielding, Henry, 1707-1754",1749,fic,6593,gutenberg,THE HISTORY OF TOM JONES A FOUNDLING.,http://viaf.org/viaf/61545697,1.07805472535763,0.6025118602344562
10,"Sterne, Laurence, 1713-1768",1759,fic,20257,gutenberg,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,http://viaf.org/viaf/61552699,0.9967987194877951,0.6488575268817204
399,"Lesuire, Robert Martin,",1760,teamred | random,nyp.33433075840177,genrescorpus,The savages of Europe,,0.9211550940947437,0.599882491186839
11,"Sterne, Laurence, 1713-1768",1760,fic,1079,gutenberg,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,http://viaf.org/viaf/61552699,1.3594833687190375,0.800421375215476
12,"Hawkesworth, John, 1715?-1773",1761,fic,14013,gutenberg,EDGAR and EMMELINE: A FAIRY TALE.,http://viaf.org/viaf/85970662,0.7396004700352526,0.4929547621570082
400,"Rousseau, Jean-Jacques,",1761,teamred | random,hvd.hw3q0s,genrescorpus,Eloisa: or A series of or,,0.9422118897376287,0.6444244450158567
13,"Goldsmith, Oliver, 1728-1774",1766,fic,2667,gutenberg,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,http://viaf.org/viaf/100167171,0.9818208155283552,0.656992760586841
401,"Mercier, Louis-S__ÎÎ©bastien,",1771,teamblack | anatscifi,nyp.33433081958500,genrescorpus,Memoirs of the year two t,,0.7323194625863034,0.5046675473359753
402,Henrietta.,1777,teamblack | random,nyp.33433074955331,genrescorpus,Letters from Henrietta to,,1.0199742268041236,0.6885130373502466
403,"Reeve, Clara,",1777,teamblack | pbgothic,uc2.ark+=13960=t1td9p949,genrescorpus,The old English baron,,1.2537296690970274,0.6632289860363239
14,"Burney, Fanny, 1752-1840",1779,fic,6053,gutenberg,EVELINA; OR A YOUNG LADY's ENTRANCE INTO THE WORLD.,http://viaf.org/viaf/95297439,1.0940076781839425,0.6171322560696906
404,"Leprince de Beaumont,",1780,teamblack | random,hvd.hn6nee,genrescorpus,Letters of Madame Du Montier,,0.7874279727606076,0.5173595037496528
405,"Campe, Joachim Heinrich,",1780,teamblack | random,mdp.39015078572263,genrescorpus,The new Robinson Crusoe;,,1.4884770729389403,0.9273814190513524
407,"Lee, Sophia,",1785,teamblack | pbgothic | stew,mdp.39015039369650,genrescorpus,The recess;,,0.8653519760769417,0.5509873060648801
406,"Genlis, St__ÎÎ©phanie F__ÎÎ©licit__ÎÎ©",1785,teamred | random,mdp.39015024230610,genrescorpus,Tales of the castle;,,1.0591583304587788,0.6628537025888019
409,"Beckford, William,",1786,teamblack | pbgothic | stew,uiuo.ark+=13960=t9h41nx14,genrescorpus,Vathek,,0.9000685400959562,0.540395383384756
408,"Bennett, Anna Maria,",1786,teamred | random,dul1.ark+=13960=t3vt2js1t,genrescorpus,"Anna; or, Memoirs of a Welch Heiress",,0.9573356022851586,0.5301100908122368
410,"Berkeley, George Monck,",1788,teamred | random,dul1.ark+=13960=t6834qb4k,genrescorpus,Heloise: or The siege of ,,0.6225823314166231,0.39473684210526316
15,"Wollstonecraft, Mary",1788,fic,16357,gutenberg,Mary,http://viaf.org/viaf/51697482,0.8799661876584953,0.5679664439956501
412,"Smith, Charlotte,",1788,teamred | pbgothic | stew,nyp.33433074911508,genrescorpus,Emmeline,,1.039667996119435,0.6037551165687844
411,"Smith, Charlotte,",1788,teamblack | pbgothic | stew,nyp.33433074911532,genrescorpus,Emmeline,,1.0721938964013893,0.6172519727727246
16,"Hayley, William, 1745-1820",1789,fic,7371,gutenberg,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,http://viaf.org/viaf/45100846,0.6529038608771738,0.40462193391445367
416,"Radcliffe, Ann Ward,",1790,teamred | pbgothic | stew,nyp.33433074955109,genrescorpus,A Sicilian romance,,0.6545940170940171,0.415167865707434
414,"Radcliffe, Ann Ward,",1790,teamred | pbgothic | stew,nyp.33433074955091,genrescorpus,A Sicilian romance,,0.6850270595309681,0.41391018619934283
17,"Trusler, John, 1735-1820",1790,fic,22500,gutenberg,Proverbs Exemplified AND ILLUSTRATED BY PICTURES FROM REAL LIFE.,http://viaf.org/viaf/66507465,0.7520430727814633,0.48911874224244933
413,"White, James,",1790,teamblack | random,nyp.33433074918784,genrescorpus,The adventures of John of,,0.7689866723080178,0.48227960819234195
415,"Lavall__ÎÎ©e, Joseph,",1790,teamblack | random,njp.32101074629542,genrescorpus,The negro equalled by few,,1.0948586398864752,0.6963658791156656
417,"Combe, William,",1791,teamblack | random,njp.32101066479765,genrescorpus,The devil upon two sticks,,0.7097465454814158,0.5010599740135403
419,"Radcliffe, Ann Ward,",1791,teamblack | pbgothic | stew,nnc1.cu58506756,genrescorpus,The romance of the forest,,0.8497826161377563,0.45520118188928477
18,"Inchbald, Mrs., 1753-1821",1791,fic,22002,gutenberg,A SIMPLE STORY. IN FOUR VOLUMES.,http://viaf.org/viaf/59084053,1.0276653806342335,0.6472758578280654
418,"Reeve, Clara,",1791,teamblack | stangothic,mdp.39015033367668,genrescorpus,The school for widows,,1.300201961915753,0.7233372228704784
19,"Holcroft, Thomas, 1745-1809",1792,fic,9468,gutenberg,ANNA ST. IVES: A NOVEL.,http://viaf.org/viaf/56644486,0.992669398221702,0.627399569248057
420,"Godwin, William,",1794,teamred | pbgothic | stew,uva.x000498882,genrescorpus,The adventures of Caleb W,,0.7606105366814377,0.4790244738269983
421,"Moser, Joseph,",1794,teamred | random,nnc1.1002330709,genrescorpus,Turkish tales,,0.7847336628226249,0.4580208081296879
20,"Holcroft, Thomas, 1745-1809",1794,fic,9811,gutenberg,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,http://viaf.org/viaf/56644486,0.8484669274861251,0.5490007801716378
21,"Radcliffe, Ann Ward, 1764-1823",1794,fic,3268,gutenberg,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,http://viaf.org/viaf/64010774,0.8916735314618845,0.5119808750764441
423,"Gunning,",1794,teamblack | random,mdp.39015063931474,genrescorpus,Memoirs of Mary,,1.0323790473809227,0.6754087567211675
422,"Bennett, Anna Maria,",1794,teamred | random,mdp.39015021250124,genrescorpus,"Ellen, Countess of Castle Howel",,1.046201570853409,0.6575480125055828
424,"Cumberland, Richard,",1795,teamred | random,nnc1.0037104152,genrescorpus,Henry,,0.9619710765934655,0.6081589543864282
22,"Cumberland, Richard, 1732-1811",1795,fic,43529,gutenberg,HENRY; IN FOUR VOLUMES.,http://viaf.org/viaf/76451457,0.9786460276016412,0.6077744145292338
23,"Hays, Mary",1796,fic,41256,gutenberg,Memoirs of Emma Courtney,http://viaf.org/viaf/29629662,0.6583154670750383,0.4564844464775846
24,"Lewis, M. G. (Matthew Gregory), 1775-1818",1796,fic,601,gutenberg,THE MONK: A ROMANCE.,http://viaf.org/viaf/100160188,0.8221624188697166,0.5205826829337015
428,"Lewis, M. G.",1796,teamblack | pbgothic | stew,nyp.33433074874748,genrescorpus,The monk,,0.8441133407975195,0.5207180254300673
426,"Roche, Regina Maria,",1796,teamblack | pbgothic,njp.32101062743727,genrescorpus,The children of the abbey,,0.9266932706499754,0.5255861555638258
425,"Lewis, M. G.",1796,teamblack | pbgothic,nyp.33433074874300,genrescorpus,The monk,,0.952757884156301,0.5724568646131047
427,"Burney, Fanny,",1796,teamblack | random,uc2.ark+=13960=t5t728t8q,genrescorpus,"Camilla: or, A picture of",,1.0224340998317443,0.5975616576254125
