id,is_resample,test_train,doc_id,tt_ratio,oed_ratio_no_set,oed_matched_no_set,oed_passed_no_set,oed_neo,oed_ratio_set,oed_matched_set,oed_passed_set,oed_neo_set,gl_ratio_no_set,matched_no_set,passed_no_set,neo,gl_ratio_set,matched_set,passed_set,neo_set,walker_ratio_no_set,walker_matched_no_set,walker_passed_no_set,walker_ratio_set,walker_matched_set,walker_passed_set
1,0,,36587,0.439285714285714,0.5,2157.0,522.0,"{""total"": 2800, ""1700"": 14, ""1750"": 6, ""neo"": 121, ""1800"": 25, ""1850"": 10, ""1900"": 54, ""1950"": 12}",0.403225806451613,957.0,222.0,"{""total"": 1230, ""1700"": 6, ""1750"": 5, ""neo"": 51, ""1800"": 15, ""1850"": 7, ""1900"": 11, ""1950"": 7}",0.970201577563541,2248.0,538.0,"{""total"": 2800, ""1700"": 10, ""1750"": 4, ""neo"": 14, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.611745513866232,988.0,235.0,"{""total"": 1230, ""1700"": 4, ""1750"": 3, ""neo"": 7, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.754285714285714,2112.0,688.0,0.717073170731707,882.0,348.0
2,0,,2363,0.536071428571429,0.647770219198791,2180.0,524.0,"{""total"": 2800, ""1700"": 4, ""1750"": 44, ""neo"": 96, ""1800"": 9, ""1850"": 10, ""1900"": 27, ""1950"": 2}",0.401468788249694,1145.0,322.0,"{""total"": 1501, ""1700"": 4, ""1750"": 6, ""neo"": 34, ""1800"": 9, ""1850"": 8, ""1900"": 5, ""1950"": 2}",1.01584507042254,2290.0,507.0,"{""total"": 2800, ""1700"": 1, ""1750"": 2, ""neo"": 3, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.595658073270014,1176.0,322.0,"{""total"": 1501, ""1700"": 1, ""1750"": 2, ""neo"": 3, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.739285714285714,2070.0,730.0,0.705529646902065,1059.0,442.0
3,0,,11866,0.545,0.808722264728386,2364.0,382.0,"{""total"": 2800, ""1700"": 0, ""1750"": 1, ""neo"": 54, ""1800"": 6, ""1850"": 19, ""1900"": 26, ""1950"": 2}",0.501827040194884,1233.0,270.0,"{""total"": 1526, ""1700"": 0, ""1750"": 1, ""neo"": 23, ""1800"": 4, ""1850"": 10, ""1900"": 6, ""1950"": 2}",1.28506787330317,2525.0,274.0,"{""total"": 2800, ""1700"": 0, ""1750"": 1, ""neo"": 1, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.751714677640604,1277.0,248.0,"{""total"": 1526, ""1700"": 0, ""1750"": 1, ""neo"": 1, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.801428571428571,2244.0,556.0,0.756225425950197,1154.0,372.0
4,0,,561,0.4975,0.884522854851644,2350.0,385.0,"{""total"": 2800, ""1700"": 6, ""1750"": 3, ""neo"": 65, ""1800"": 9, ""1850"": 14, ""1900"": 32, ""1950"": 1}",0.479892761394102,1104.0,259.0,"{""total"": 1393, ""1700"": 4, ""1750"": 3, ""neo"": 30, ""1800"": 7, ""1850"": 9, ""1900"": 6, ""1950"": 1}",1.54112983151635,2564.0,230.0,"{""total"": 2800, ""1700"": 4, ""1750"": 2, ""neo"": 6, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.757078986587183,1179.0,209.0,"{""total"": 1393, ""1700"": 3, ""1750"": 2, ""neo"": 5, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.811785714285714,2273.0,527.0,0.742282842785355,1034.0,359.0
5,0,,370,0.468571428571429,0.827924528301887,2422.0,310.0,"{""total"": 2800, ""1700"": 9, ""1750"": 2, ""neo"": 68, ""1800"": 11, ""1850"": 9, ""1900"": 32, ""1950"": 5}",0.439632545931759,1097.0,186.0,"{""total"": 1312, ""1700"": 5, ""1750"": 2, ""neo"": 29, ""1800"": 7, ""1850"": 7, ""1900"": 6, ""1950"": 2}",1.44214487300094,2596.0,195.0,"{""total"": 2800, ""1700"": 6, ""1750"": 3, ""neo"": 9, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.668141592920354,1131.0,175.0,"{""total"": 1312, ""1700"": 3, ""1750"": 3, ""neo"": 6, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.821785714285714,2301.0,499.0,0.76905487804878,1009.0,303.0
6,0,,28105,0.591785714285714,0.54559748427673,1966.0,706.0,"{""total"": 2800, ""1700"": 16, ""1750"": 15, ""neo"": 128, ""1800"": 25, ""1850"": 29, ""1900"": 20, ""1950"": 23}",0.379224030037547,1102.0,490.0,"{""total"": 1657, ""1700"": 9, ""1750"": 10, ""neo"": 65, ""1800"": 13, ""1850"": 14, ""1900"": 10, ""1950"": 9}",0.871350364963504,2051.0,739.0,"{""total"": 2800, ""1700"": 8, ""1750"": 2, ""neo"": 10, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.589958158995816,1140.0,512.0,"{""total"": 1657, ""1700"": 4, ""1750"": 1, ""neo"": 5, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.726071428571429,2033.0,767.0,0.666867833433917,1105.0,552.0
7,0,,829,0.586785714285714,0.61863173216885,2224.0,506.0,"{""total"": 2800, ""1700"": 10, ""1750"": 3, ""neo"": 70, ""1800"": 5, ""1850"": 18, ""1900"": 29, ""1950"": 5}",0.418872266973533,1233.0,376.0,"{""total"": 1643, ""1700"": 7, ""1750"": 3, ""neo"": 34, ""1800"": 5, ""1850"": 9, ""1900"": 6, ""1950"": 4}",0.98006379585327,2483.0,316.0,"{""total"": 2800, ""1700"": 1, ""1750"": 0, ""neo"": 1, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.616389548693587,1361.0,281.0,"{""total"": 1643, ""1700"": 1, ""1750"": 0, ""neo"": 1, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.801785714285714,2245.0,555.0,0.76019476567255,1249.0,394.0
8,0,,6124,0.460357142857143,0.930498773507768,2361.0,367.0,"{""total"": 2800, ""1700"": 5, ""1750"": 4, ""neo"": 72, ""1800"": 21, ""1850"": 13, ""1900"": 26, ""1950"": 3}",0.544072948328267,1016.0,241.0,"{""total"": 1289, ""1700"": 5, ""1750"": 2, ""neo"": 32, ""1800"": 10, ""1850"": 9, ""1900"": 4, ""1950"": 2}",1.67776584317938,2493.0,305.0,"{""total"": 2800, ""1700"": 1, ""1750"": 1, ""neo"": 2, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.803056027164686,1062.0,225.0,"{""total"": 1289, ""1700"": 1, ""1750"": 1, ""neo"": 2, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.7975,2233.0,567.0,0.730799069045772,942.0,347.0
9,0,,4085,0.636071428571429,0.518056467498359,2312.0,410.0,"{""total"": 2800, ""1700"": 13, ""1750"": 4, ""neo"": 78, ""1800"": 11, ""1850"": 21, ""1900"": 26, ""1950"": 3}",0.373529411764706,1401.0,338.0,"{""total"": 1781, ""1700"": 12, ""1750"": 4, ""neo"": 42, ""1800"": 7, ""1850"": 13, ""1900"": 5, ""1950"": 1}",0.870429252782194,2353.0,444.0,"{""total"": 2800, ""1700"": 2, ""1750"": 1, ""neo"": 3, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.589327146171694,1370.0,408.0,"{""total"": 1781, ""1700"": 2, ""1750"": 1, ""neo"": 3, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.761071428571429,2131.0,669.0,0.711959573273442,1268.0,513.0
10,0,,6593,0.548214285714286,0.591286307053942,2301.0,420.0,"{""total"": 2800, ""1700"": 1, ""1750"": 8, ""neo"": 79, ""1800"": 10, ""1850"": 38, ""1900"": 22, ""1950"": 0}",0.410438908659549,1189.0,317.0,"{""total"": 1535, ""1700"": 1, ""1750"": 8, ""neo"": 29, ""1800"": 6, ""1850"": 10, ""1900"": 4, ""1950"": 0}",1.06192468619247,2464.0,336.0,"{""total"": 2800, ""1700"": 0, ""1750"": 0, ""neo"": 0, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.604922279792746,1239.0,296.0,"{""total"": 1535, ""1700"": 0, ""1750"": 0, ""neo"": 0, ""1800"": 0, ""1850"": 0, ""1900"": 0, ""1950"": 0}",0.773928571428571,2167.0,633.0,0.726384364820847,1115.0,420.0
