,author,date,genre,gutenberg_id,source,title,viaf_author_uri,dictcom_gl,oed_gl,Adverbs,Adjectives,Syllables
0,"Defoe, Daniel, 1661?-1731",1706,fic,36587,gutenberg,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,http://viaf.org/viaf/39375774,0.9625066952329941,0.4812473662031184,0.042423152975013485,0.08008268919647672,1.476391905796273
1,"Congreve, William, 1670-1729",1713,fic,2363,gutenberg,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,http://viaf.org/viaf/24616924,0.974321503131524,0.5970175438596491,0.05472200681074885,0.09646313092147409,1.4092835771276595
2,"Defoe, Daniel, 1661?-1731",1719,fic,11866,gutenberg,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,http://viaf.org/viaf/39375774,1.2938169976027862,0.7917878463186897,0.06191976242350231,0.09313637057492957,1.3606081410834374
3,"Defoe, Daniel, 1661?-1731",1719,fic,561,gutenberg,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,http://viaf.org/viaf/39375774,1.4700233903730149,0.8392919997988636,0.06607446264495802,0.0817373517427954,1.3170446045431283
4,"Defoe, Daniel, 1661?-1731",1721,fic,370,gutenberg,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,http://viaf.org/viaf/39375774,1.4556261039767031,0.7876599565965726,0.07144771399474728,0.08102410176698648,1.2958196585922857
5,"Carey, Henry, 1687?-1743",1726,fic,28105,gutenberg,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,http://viaf.org/viaf/14965532,0.8964305029745808,0.5210951526032316,0.03974482729676417,0.08326688210853234,1.497589716122121
6,"Swift, Jonathan, 1667-1745",1726,fic,829,gutenberg,Gulliver's Travels into Several Remote Nations of the World,http://viaf.org/viaf/14777110,0.9761659884630863,0.6318343050515758,0.052488638058383504,0.10112324272561009,1.4072829345605224
7,"Richardson, Samuel, 1689-1761",1741,fic,6124,gutenberg,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,http://viaf.org/viaf/41845728,1.636147773529049,0.8725379007059368,0.06646656322336122,0.09249575749206915,1.275605188573417
8,"Haywood, Eliza, 1693-1756",1744,fic,10804,gutenberg,The Fortunate Foundlings,http://viaf.org/viaf/64027723,,,0.06646656322336122,0.09249575749206915,1.275605188573417
9,"Richardson, Samuel, 1689-1761",1748,fic,9296;9798; 9881;10462;10462;10799;11889;12180;12398,gutenberg,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,http://viaf.org/viaf/41845728,,,0.06646656322336122,0.09249575749206915,1.275605188573417
10,"Smollett, Tobias George, 1721-1771",1748,fic,4085,gutenberg,THE ADVENTURES OF Roderick Random.,http://viaf.org/viaf/68935985,0.8678538654232496,0.5089696647370466,0.04680074566124925,0.09991160588477258,1.428458586624112
11,"Fielding, Henry, 1707-1754",1749,fic,6593,gutenberg,THE HISTORY OF TOM JONES A FOUNDLING.,http://viaf.org/viaf/61545697,1.07805472535763,0.6025118602344562,0.06837248818491408,0.10004898793760783,1.4068638031513059
12,"Lennox, Charlotte, ca. 1729-1804",1752,fic,50054,gutenberg,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,http://viaf.org/viaf/100288562,,,0.06837248818491408,0.10004898793760783,1.4068638031513059
13,"Sterne, Laurence, 1713-1768",1759,fic,20257,gutenberg,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,http://viaf.org/viaf/61552699,0.9967987194877951,0.6488575268817204,0.04586475460501916,0.08771170725676845,1.4043936870489333
14,"Sterne, Laurence, 1713-1768",1760,fic,1079,gutenberg,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,http://viaf.org/viaf/61552699,1.3594833687190375,0.800421375215476,0.05312719860011185,0.09834394674652283,1.3504921980408884
15,"Hawkesworth, John, 1715?-1773",1761,fic,14013,gutenberg,EDGAR and EMMELINE: A FAIRY TALE.,http://viaf.org/viaf/85970662,0.7396004700352526,0.4929547621570082,0.04882475322030897,0.08996945686335266,1.444653167214564
16,"Walpole, Horace, 1717-1797",1764,fic,696,gutenberg,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,http://viaf.org/viaf/17231985,,,0.04882475322030897,0.08996945686335266,1.444653167214564
17,"Goldsmith, Oliver, 1728-1774",1766,fic,2667,gutenberg,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,http://viaf.org/viaf/100167171,0.9818208155283552,0.656992760586841,0.05728785315727018,0.10344131087939,1.4120307272952546
18,"Sterne, Laurence, 1713-1768",1768,fic,804,gutenberg,A SENTIMENTAL JOURNEY THROUGH FRANCE AND ITALY.,http://viaf.org/viaf/61552699,,,0.05728785315727018,0.10344131087939,1.4120307272952546
19,"Burney, Fanny, 1752-1840",1779,fic,6053,gutenberg,EVELINA; OR A YOUNG LADY's ENTRANCE INTO THE WORLD.,http://viaf.org/viaf/95297439,1.0940076781839425,0.6171322560696906,0.07286308718102973,0.08395748734145486,1.3894614900870486
20,"Wollstonecraft, Mary",1788,fic,16357,gutenberg,Mary,http://viaf.org/viaf/51697482,0.8799661876584953,0.5679664439956501,0.05475495175215846,0.10243143727780599,1.4532382556909453
