,index,author,viaf_author_uri,title,downloads,date,gutenberg_id,genre,source
0,2458,"Abbott, Eleanor Hallowell",,Fairy Prince and Other Stories,27,date?,26399,fic,gutenberg
1,1451,"Abbott, Eleanor Hallowell",,Little Eve Edgarton,15,date?,15660,fic,gutenberg
2,2097,"Abbott, Eleanor Hallowell",,Little Eve Edgarton,27,date?,22982,fic,gutenberg
3,1673,"Abbott, Eleanor Hallowell",,Molly Make-Believe,22,date?,18665,fic,gutenberg
4,2098,"Abbott, Eleanor Hallowell",,Molly Make-Believe,16,date?,22983,fic,gutenberg
5,2090,"Abbott, Eleanor Hallowell",,"Peace On Earth, Good-Will To Dogs",31,date?,22947,fic,gutenberg
6,1823,"Abbott, Eleanor Hallowell",,"Peace on Earth, Good-will to Dogs",27,date?,20213,fic,gutenberg
7,4365,"Abbott, Eleanor Hallowell",,Rainy Week,18,date?,43025,fic,gutenberg
8,1459,"Abbott, Eleanor Hallowell",,The Indiscreet Letter,29,date?,15728,fic,gutenberg
9,2089,"Abbott, Eleanor Hallowell",,The Indiscreet Letter,212,date?,22946,fic,gutenberg
10,3625,"Abbott, Eleanor Hallowell",,"The Sick-a-Bed Lady: And Also Hickory Dock, The Very Tired Girl, The Happy-Day, Something That Happened in October, The Amateur Lover, Heart of The City, The Pink Sash, Woman's Only Business",28,date?,34829,fic,gutenberg
11,1342,"Abbott, Eleanor Hallowell",,The White Linen Nurse,23,date?,14506,fic,gutenberg
12,3194,"Abbott, Jane",,Happy House,27,date?,32053,fic,gutenberg
13,2881,"Abbott, Jane",,Highacres,17,date?,29865,fic,gutenberg
14,764,"Abbott, Jane",,Keineth,9,date?,6860,fic,gutenberg
15,4591,"Abbott, Jane",,Laughing Last,21,date?,46458,fic,gutenberg
16,1719,"Abbott, Jane",,Red-Robin,14,date?,19057,fic,gutenberg
17,1647,"Abbott, Keene",,A Melody in Silver,10,date?,18434,fic,gutenberg
18,3420,"Abdullah, Achmed",,"The Ten-foot Chain; or, Can Love Survive the Shackles? A Unique Symposium",26,date?,32996,fic,gutenberg
19,3153,"Abernathy, Robert",,The Record of Currupira,20,date?,31762,fic,gutenberg
20,3727,"Abernathy, Robert",,The Rotifers,21,date?,35879,fic,gutenberg
21,3389,"Abernathy, Robert",,When the Mountain Shook,18,date?,32836,fic,gutenberg
22,3199,"Abernathy, Robert",,World of the Drone,36,date?,32068,fic,gutenberg
23,3313,"Ackerman, Forrest J.",,Micro-Man,72,date?,32579,fic,gutenberg
24,2657,"Ackerman, Forrest J.",,Out of This World Convention,23,date?,28535,fic,gutenberg
25,1356,"Adams, Francis Alexandre",,The Transgressors: Story of a Great Sin; A Political Novel of the Twentieth Century,6,date?,14633,fic,gutenberg
26,766,"Adams, Samuel Hopkins",,Average Jones,25,date?,6864,fic,gutenberg
27,1066,"Adams, Samuel Hopkins",,From a Bench in Our Square,18,date?,10944,fic,gutenberg
28,1993,"Adams, Samuel Hopkins",,Little Miss Grouch: A Narrative Based on the Log of Alexander Forsyth Smith's Maiden Transatlantic Voyage,14,date?,22196,fic,gutenberg
29,4461,"Adams, Samuel Hopkins",,Our Square and the People in It,21,date?,44328,fic,gutenberg
30,1425,"Adams, Samuel Hopkins",,Success: A Novel,16,date?,15431,fic,gutenberg
31,4460,"Adams, Samuel Hopkins",,The Beggar's Purse: A Fairy Tale of Familiar Finance,14,date?,44327,fic,gutenberg
32,1500,"Adams, Samuel Hopkins",,The Clarion,15,date?,16447,fic,gutenberg
33,4458,"Adams, Samuel Hopkins",,The Flying Death,26,date?,44324,fic,gutenberg
34,3775,"Adams, Samuel Hopkins",,The Secret of Lonesome Cove,29,date?,36335,fic,gutenberg
35,530,"Adams, Samuel Hopkins",,The Unspeakable Perk,13,date?,5009,fic,gutenberg
36,4459,"Adams, Samuel Hopkins",,Wanted: A Husband. A Novel,22,date?,44326,fic,gutenberg
37,1095,"Ade, George",,The Slim Princess,13,date?,11279,fic,gutenberg
38,3989,"Aitken, Robert",,The White Blackbird,12,date?,39066,fic,gutenberg
39,1900,"Albuquerque, Medeiros e",,Brazilian Tales,68,date?,21040,fic,gutenberg
40,1389,"Aldrich, Anne Reeve",,A Village Ophelia and Other Stories,3,date?,14978,fic,gutenberg
41,2726,"Allain, Marcel",,A Nest of Spies,38,date?,29029,fic,gutenberg
42,2588,"Allain, Marcel",,A Royal Prisoner,27,date?,27789,fic,gutenberg
43,3697,"Allen, Frank Waller",,The Golden Road,3,date?,35509,fic,gutenberg
44,2549,"Ames, Joseph Bushnell",,Shoe-Bar Stratton,8,date?,27355,fic,gutenberg
45,3230,"Ames, Joseph Bushnell",,Under Boy Scout Colors,12,date?,32173,fic,gutenberg
46,3108,"Andersen Nex?, Martin",,Ditte: Girl Alive!,8,date?,31496,fic,gutenberg
47,825,"Andersen Nex?, Martin",,Pelle the Conqueror ? Complete,18,date?,7795,fic,gutenberg
48,821,"Andersen Nex?, Martin",,Pelle the Conqueror ? Volume 01,2,date?,7791,fic,gutenberg
49,822,"Andersen Nex?, Martin",,Pelle the Conqueror ? Volume 02,2,date?,7792,fic,gutenberg
50,823,"Andersen Nex?, Martin",,Pelle the Conqueror ? Volume 03,1,date?,7793,fic,gutenberg
51,824,"Andersen Nex?, Martin",,Pelle the Conqueror ? Volume 04,2,date?,7794,fic,gutenberg
52,4257,"Anderson, Isabel",,Polly the Pagan: Her Lost Love Letters,13,date?,41854,fic,gutenberg
53,4710,"Anderson, Karen",,Innocent at Large,154,date?,51650,fic,gutenberg
54,4368,"Anderson, Karen",,The Piebald Hippogriff,82,date?,43048,fic,gutenberg
55,1569,"Anderson, Nephi",,Added Upon: A Story,25,date?,17249,fic,gutenberg
56,1197,"Anderson, Nephi",,Dorian,10,date?,12684,fic,gutenberg
57,1279,"Anderson, Nephi",,"Story of Chester Lawrence: Being the Completed Account of One who Played an Important Part in ""Piney Ridge Cottage""",5,date?,13756,fic,gutenberg
58,3284,"Anderson, Poul",,Duel on Syrtis,141,date?,32436,fic,gutenberg
59,3054,"Anderson, Poul",,Industrial Revolution,189,date?,30971,fic,gutenberg
