author,date,genre,gutenberg_id,source,title,viaf_author_uri
"Defoe, Daniel, 1661?-1731",1706,fic,36587,gutenberg,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,http://viaf.org/viaf/39375774
"Congreve, William, 1670-1729",1713,fic,2363,gutenberg,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,http://viaf.org/viaf/24616924
"Defoe, Daniel, 1661?-1731",1719,fic,11866,gutenberg,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,http://viaf.org/viaf/39375774
"Defoe, Daniel, 1661?-1731",1719,fic,561,gutenberg,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,http://viaf.org/viaf/39375774
"Defoe, Daniel, 1661?-1731",1721,fic,370,gutenberg,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,http://viaf.org/viaf/39375774
"Carey, Henry, 1687?-1743",1726,fic,28105,gutenberg,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,http://viaf.org/viaf/14965532
"Swift, Jonathan, 1667-1745",1726,fic,829,gutenberg,Gulliver's Travels into Several Remote Nations of the World,http://viaf.org/viaf/14777110
"Richardson, Samuel, 1689-1761",1741,fic,6124,gutenberg,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,http://viaf.org/viaf/41845728
"Haywood, Eliza, 1693-1756",1744,fic,10804,gutenberg,The Fortunate Foundlings,http://viaf.org/viaf/64027723
"Richardson, Samuel, 1689-1761",1748,fic,9296;9798; 9881;10462;10462;10799;11889;12180;12398,gutenberg,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,http://viaf.org/viaf/41845728
"Smollett, Tobias George, 1721-1771",1748,fic,4085,gutenberg,THE ADVENTURES OF Roderick Random.,http://viaf.org/viaf/68935985
"Fielding, Henry, 1707-1754",1749,fic,6593,gutenberg,THE HISTORY OF TOM JONES A FOUNDLING.,http://viaf.org/viaf/61545697
"Lennox, Charlotte, ca. 1729-1804",1752,fic,50054,gutenberg,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,http://viaf.org/viaf/100288562
"Sterne, Laurence, 1713-1768",1759,fic,20257,gutenberg,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,http://viaf.org/viaf/61552699
"Sterne, Laurence, 1713-1768",1760,fic,1079,gutenberg,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,http://viaf.org/viaf/61552699
"Hawkesworth, John, 1715?-1773",1761,fic,14013,gutenberg,EDGAR and EMMELINE: A FAIRY TALE.,http://viaf.org/viaf/85970662
"Walpole, Horace, 1717-1797",1764,fic,696,gutenberg,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,http://viaf.org/viaf/17231985
"Goldsmith, Oliver, 1728-1774",1766,fic,2667,gutenberg,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,http://viaf.org/viaf/100167171
"Sterne, Laurence, 1713-1768",1768,fic,804,gutenberg,A SENTIMENTAL JOURNEY THROUGH FRANCE AND ITALY.,http://viaf.org/viaf/61552699
"Burney, Fanny, 1752-1840",1779,fic,6053,gutenberg,EVELINA; OR A YOUNG LADY's ENTRANCE INTO THE WORLD.,http://viaf.org/viaf/95297439
"Wollstonecraft, Mary",1788,fic,16357,gutenberg,Mary,http://viaf.org/viaf/51697482
"Hayley, William, 1745-1820",1789,fic,7371,gutenberg,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,http://viaf.org/viaf/45100846
"Trusler, John, 1735-1820",1790,fic,22500,gutenberg,Proverbs Exemplified AND ILLUSTRATED BY PICTURES FROM REAL LIFE.,http://viaf.org/viaf/66507465
"Inchbald, Mrs., 1753-1821",1791,fic,22002,gutenberg,A SIMPLE STORY. IN FOUR VOLUMES.,http://viaf.org/viaf/59084053
"Holcroft, Thomas, 1745-1809",1792,fic,9468,gutenberg,ANNA ST. IVES: A NOVEL.,http://viaf.org/viaf/56644486
"Holcroft, Thomas, 1745-1809",1794,fic,9811,gutenberg,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,http://viaf.org/viaf/56644486
"Radcliffe, Ann Ward, 1764-1823",1794,fic,3268,gutenberg,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,http://viaf.org/viaf/64010774
"Cumberland, Richard, 1732-1811",1795,fic,43529,gutenberg,HENRY; IN FOUR VOLUMES.,http://viaf.org/viaf/76451457
"Hays, Mary",1796,fic,41256,gutenberg,Memoirs of Emma Courtney,http://viaf.org/viaf/29629662
"Lewis, M. G. (Matthew Gregory), 1775-1818",1796,fic,601,gutenberg,THE MONK: A ROMANCE.,http://viaf.org/viaf/100160188
"Burney, Fanny",1796,fic,40619,gutenberg,Camilla,http://viaf.org/viaf/95297439
"Brown, Charles Brockden, 1771-1810",1798,fic,792,gutenberg,WIELAND; OR THE TRANSFORMATION.,http://viaf.org/viaf/49222478
"Godwin, William",1799,fic,53707,gutenberg,St. Leon,http://viaf.org/viaf/68929729
"Hays, Mary",1799,fic,1424,gutenberg,Victim of prejudice,http://viaf.org/viaf/29629662
"Brown, Charles Brockden, 1771-1810",1799,fic,18508,gutenberg,ARTHUR MERVYN; OR MEMOIRS OF THE YEAR 1793.,http://viaf.org/viaf/49222478
"Brown, Charles Brockden, 1771-1810",1800,fic,36289,gutenberg,ORMOND; OR THE SECRET WITNESS.,http://viaf.org/viaf/49222478
"Opie, Amelia Alderson",1805,fic,37908,gutenberg,Adeline Mowbray,http://viaf.org/viaf/39410771
"Dacre, Charlotte",1806,fic,45787,gutenberg,Zofloya,http://viaf.org/viaf/23386022
