,actual,author,birthdate,date,doc_id,enumcron,final_genre,firstpub,gender,genretags,imprint,locnum,nationality,oclc,predicted,recordid,subjects,title,zscore
767,1806,"Genlis, St̩phanie F̩licit̩,",1746,1806,uc1.$b522186,v.1,non_genre,1806,f,teamred | random,Londres;Imprim̩ pour M. Peltier;1806.,,fr,14201458,1917.895434,8933396,,Madame de Maintenon,7.326022692
790,1821,"Varty-Smith, Augusta A.",,1821,uc1.b254212,v. 1,non_genre,1821,f,teamred | random,London;R. ,PR5703.V43,uk,13377964,1909.080954,6504961,,Matthew Tindale,5.755760793
764,1800,Anonymous5,1000,1909,sanskritdevasmita,,crime,1800,m,lockandkey | teamblack,from Somadeva,,in,,1880.069146,,"First pub, again, fictitious",Devasmita,5.227484022
763,1834,"Pushkin, Alexander Sergeievich,",1799,1909,pushkinqueenofspades,,crime,1834,m,lockandkey | teamblack,,,ru,,1896.637617,,,The Queen of Spades,4.078096434
765,1871,"Spielhagen, Friedrich,",1829,1909,spielhagenskeleton,,crime,1871,m,teamred | lockandkey | stew,,,ge,,1921.049185,,,The Skeleton in the House,3.248049537
499,1884,"Chekhov, Anton,",1860,1909,chekhovsafetymatch,,crime,1884,m,teamred | lockandkey | stew,,,ru,,1933.701109,,,The Safety Match,3.225098375
515,1764,Anonymous4,,1764,dul1.ark+=13960=t6446jc6s,v.2,non_genre,1764,,teamblack | random,"Naples, Pr",,uk,22883408,1812.533482,10943923,Italy;Anvi,The memoirs of Miss D'Arv,3.148108228
498,1800,Anonymous8,1500,1909,arabicthreesharpers,,crime,1800,f,teamred | lockandkey | stew,from Thousand and One Nights,,ar,,1841.631733,,First pub is fictitious here. What can you do?,The Three Sharpers,2.693025726
804,1826,"Radcliffe, Ann Ward,",1764,1826,uc1.b3575698,v.3,gothic,1826,f,teamred | pbgothic | stew,London;H. ,,uk,2810804,1866.753254,6677558,History;He,Gaston de Blondeville,2.635101208
957,1877,"Verga, Giovanni,",1840,1909,vergacastleoftrezza,,crime,1877,m,lockandkey | teamblack,,,it,,1916.288304,,,The Castle of Trezza,2.538506371
635,1764,"Walpole, Horace,",1717,1811,njp.32101067487007,,gothic,1764,m,teamred | pbgothic | stew,Edinburgh;,,uk,7121717,1801.739373,8958204,,The castle of Otranto;,2.436374056
751,1771,"Mercier, Louis-S̩bastien,",1740,1802,nyp.33433081958500,,scifi,1771,m,teamblack | anatscifi,Liverpool;,,fr,3502928,1808.053172,8676577,Utopias in,Memoirs of the year two t,2.391127846
549,1798,"Brown, Charles Brockden,",1771,1887,mdp.39015005076883,,gothic,1798,m,teamred | pbgothic,Philadelph,PZ3.B814 vol.1,us,819179,1834.514279,584495,,"Wieland; or, The transfor",2.355594706
600,1780,"Campe, Joachim Heinrich,",1746,1788,mdp.39015078572263,v.1-2,non_genre,1780,m,teamblack | random,London;J. ,,ge,57015433,1816.012445,1420444,"Voyages, I",The new Robinson Crusoe;,2.322505181
949,1820,"Irving, Washington,",1783,1873,uva.x000960744,,gothic,1820,m,teamblack | pbgothic,New York;G,PS2066.A1 1873,us,8523153,1854.170136,9776004,,The sketch-book of Geoffr,2.201028301
305,1970,"Kurtz, Katherine,",1944,1970,20898,,scifi,1970,f,chifantasy | teamblack | chiscifi,New York B,,us,,2003.217087,,Science fi,Deryni rising,2.138186861
563,1820,"Maturin, Charles Robert,",1782,1892,mdp.39015021040004,v.1,gothic,1820,m,teamblack | pbgothic | stew,London;R. ,,ir,4418502,1852.630984,1910357,,Melmoth the wanderer,2.09954086
