index,author,viaf_author_uri,title,date,gutenberg_id,genre,source,wc1,wc2,underwood_id,underwood_filename
0,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE SHORTEST-WAY WITH THE DISSENTERS: OR PROPOSALS FOR THE ESTABLISHMENT OF THE CHURCH.,1702,,fic,ecc,5431,5246,DefoDSW,K061006.000.txt
1,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,1706,,fic,ecc,4196,3908,DefoDTR,K060989.000.txt
2,"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705",,THE HISTORY OF THE Earl of WARWICK Sirnam'd The KING-MAKER: Containing his AMOURS And other Memorable Transactions.,1708,,fic,ecc,140254,133173,AulnMHE,K063758.000.txt
3,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE British Visions: OR ISAAC BICKERSTAFF Sen.,1711,,fic,ecc,4600,4430,DefoDBV,K009959.000.txt
4,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,JOHN BULL Still In His SENSES: BEING THE THIRD PART OF Law is a Bottomless-Pit.,1712,,fic,ecc,10748,9917,ArbuJJB,K000637.000.txt
5,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,LEWIS BABOON Turned Honest AND JOHN BULL POLITICIAN. Being The FOURTH PART OF Law is a Bottomless-Pit.,1712,,fic,ecc,9619,8568,ArbuJLB,K039201.000.txt
6,,,THE LUCUBRATIONS OF Isaac BickerstaffEsq,1712,,fic,ecc,115998,107491,Anon12LI3,K098900.003.txt
7,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,LAW IS A Bottomless-Pit. Exemplified in the CASE of The Lord Strutt John Bull Nicholas Frog and Lewis Baboon. Who spent all they had in a Law-Suit. rinted from a Manuscript found in the Cabinet of the famous Sir Humphry Polesworth.,1712,,fic,ecc,5775,5295,ArbuJLI,K006904.000.txt
8,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,JOHN BULL In His SENSES: BEING THE SECOND PART OF Law is a Bottomless-Pit.,1712,,fic,ecc,6544,6133,ArbuJJB2,K005971.000.txt
9,,,THE LUCUBRATIONS OF Isaac BickerstaffEsq,1712,,fic,ecc,112057,103856,Anon12LI4,K098900.004.txt
10,,,THE LUCUBRATIONS OF Isaac BickerstaffEsq,1712,,fic,ecc,68820,62728,Anon12LI5,K098900.005.txt
11,,,THE LUCUBRATIONS OF Isaac BickerstaffEsq,1712,,fic,ecc,119165,111140,Anon12LI2,K098900.002.txt
12,,,THE LUCUBRATIONS OF Isaac Bickerstaff (The TATLER),1712,,fic,ecc,110202,102692,Anon12LI,K098900.001.txt
13,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,AN APPENDIX TO JOHN BULL Still In His SENSES: OR Law is a Bottomless-Pit.,1712,,fic,ecc,4708,4378,ArbuJAT2,K030987.000.txt
14,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,MEMOIRS OF Count TARIFF &c.,1713,,fic,ecc,18379,17696,DefoDMC,K050314.000.txt
